,AGE,YEAR,COUNT,POPULATION
9,1-4,2008,31616,3419841874
10,1-4,2009,30790,3448827998
11,1-4,2010,31745,3451816702
12,1-4,2011,31750,3439136174
13,1-4,2012,31711,3418724430
14,1-4,2013,29959,3391923360
15,1-4,2014,30111,3392548844
16,1-4,2015,31157,3395627958
17,1-4,2016,30112,3402158680
18,1-4,2017,28921,3410827663
28,10-14,2008,24132,4314343524
29,10-14,2009,24159,4315510161
30,10-14,2010,25416,4331018431
31,10-14,2011,24737,4345096089
32,10-14,2012,25235,4343772826
33,10-14,2013,26300,4347664156
34,10-14,2014,26832,4358632167
35,10-14,2015,26952,4354554405
36,10-14,2016,27776,4366983477
37,10-14,2017,26882,4406195353
47,15-19,2008,42384,4594738040
48,15-19,2009,42144,4605972777
49,15-19,2010,40640,4575120181
50,15-19,2011,41964,4516186878
51,15-19,2012,42689,4462375364
52,15-19,2013,40638,4428882985
53,15-19,2014,42570,4409545802
54,15-19,2015,44392,4422929885
55,15-19,2016,43955,4441921660
56,15-19,2017,41389,4443506166
66,20-24,2008,67934,4382832511
67,20-24,2009,69454,4431791226
68,20-24,2010,70027,4504512143
69,20-24,2011,70781,4600872482
70,20-24,2012,71852,4692452751
71,20-24,2013,72136,4743758215
72,20-24,2014,75908,4763667806
73,20-24,2015,72652,4728481631
74,20-24,2016,72532,4670878438
75,20-24,2017,70155,4616453235
85,25-29,2008,112459,4346194833
86,25-29,2009,116896,4385126350
87,25-29,2010,115184,4399776476
88,25-29,2011,114592,4428179896
89,25-29,2012,119051,4448409992
90,25-29,2013,117944,4485680158
91,25-29,2014,122899,4562901620
92,25-29,2015,125035,4658078201
93,25-29,2016,127640,4763935843
94,25-29,2017,124028,4854377125
104,30-34,2008,171312,4021215597
105,30-34,2009,176258,4093971991
106,30-34,2010,176331,4183054846
107,30-34,2011,179763,4274992856
108,30-34,2012,188984,4356653230
109,30-34,2013,191502,4431071546
110,30-34,2014,195395,4480011285
111,30-34,2015,204334,4506723975
112,30-34,2016,206067,4545399076
113,30-34,2017,197632,4568159493
123,35-39,2008,295617,4284573547
124,35-39,2009,293427,4235584959
125,35-39,2010,281735,4161181296
126,35-39,2011,277262,4075751708
127,35-39,2012,276145,4061491725
128,35-39,2013,281933,4089353423
129,35-39,2014,289091,4146107013
130,35-39,2015,297594,4238125564
131,35-39,2016,306989,4336061475
132,35-39,2017,302755,4419346932
142,40-44,2008,519729,4350825161
143,40-44,2009,516476,4283499148
144,40-44,2010,499172,4278907593
145,40-44,2011,504786,4314404813
146,40-44,2012,504639,4321959357
147,40-44,2013,504549,4296693188
148,40-44,2014,501513,4246049853
149,40-44,2015,496621,4177962546
150,40-44,2016,482525,4098023743
151,40-44,2017,468176,4085051542
161,45-49,2008,930979,4581751345
162,45-49,2009,935494,4602399972
163,45-49,2010,895699,4569102666
164,45-49,2011,880498,4488421715
165,45-49,2012,855043,4405588903
166,45-49,2013,830956,4322364938
167,45-49,2014,812656,4256894249
168,45-49,2015,807322,4255614445
169,45-49,2016,796160,4293961458
170,45-49,2017,785935,4302385121
180,5-9,2008,23247,4179999775
181,5-9,2009,23522,4246940023
182,5-9,2010,24025,4290921768
183,5-9,2011,24510,4299802560
184,5-9,2012,23340,4336377251
185,5-9,2013,24240,4365214178
186,5-9,2014,25093,4360731330
187,5-9,2015,25070,4358459211
188,5-9,2016,24549,4354081218
189,5-9,2017,22889,4329158881
199,50-54,2008,1387971,4304962286
200,50-54,2009,1424593,4385485230
201,50-54,2010,1409072,4463625627
202,50-54,2011,1424634,4514140400
203,50-54,2012,1406312,4526059739
204,50-54,2013,1402253,4532471284
205,50-54,2014,1400088,4536927876
206,50-54,2015,1380833,4497744608
207,50-54,2016,1328125,4420683015
208,50-54,2017,1270500,4339930805
218,55-59,2008,1788107,3721692582
219,55-59,2009,1819023,3819089166
220,55-59,2010,1829982,3925871645
221,55-59,2011,1883732,4023868381
222,55-59,2012,1896286,4131637057
223,55-59,2013,1929584,4218667808
224,55-59,2014,1971788,4282996987
225,55-59,2015,1988636,4346587508
226,55-59,2016,1988910,4396169254
227,55-59,2017,1947618,4407536929
237,60-64,2008,2140164,3022435842
238,60-64,2009,2222004,3178810688
239,60-64,2010,2263035,3351969547
240,60-64,2011,2365461,3516678333
241,60-64,2012,2306682,3522807721
242,60-64,2013,2320200,3587018246
243,60-64,2014,2379667,3675841314
244,60-64,2015,2453612,3777886035
245,60-64,2016,2486085,3871445336
246,60-64,2017,2501018,3973415685
256,65-69,2008,2294826,2282141491
257,65-69,2009,2361332,2381263679
258,65-69,2010,2386121,2467301003
259,65-69,2011,2460437,2540688879
260,65-69,2012,2550789,2757220851
261,65-69,2013,2634908,2880551744
262,65-69,2014,2702828,3021895480
263,65-69,2015,2835712,3169630292
264,65-69,2016,2930799,3324564731
265,65-69,2017,2901465,3330028893
275,70-74,2008,2161299,1756440821
276,70-74,2009,2186708,1802629251
277,70-74,2010,2193479,1842213552
278,70-74,2011,2249347,1896405335
279,70-74,2012,2272007,1976157482
280,70-74,2013,2382329,2091887791
281,70-74,2014,2441871,2183239582
282,70-74,2015,2527599,2264650912
283,70-74,2016,2561656,2334248038
284,70-74,2017,2709640,2536488421
294,75-79,2008,2089052,1447473437
295,75-79,2009,2041000,1438853084
296,75-79,2010,2009351,1444963571
297,75-79,2011,2016532,1459301818
298,75-79,2012,1992401,1480651125
299,75-79,2013,2026534,1518215802
300,75-79,2014,2055817,1565451341
301,75-79,2015,2092361,1605522556
302,75-79,2016,2127006,1656835256
303,75-79,2017,2173389,1729142216
313,80-84,2008,1781108,1129592395
314,80-84,2009,1750564,1130169785
315,80-84,2010,1731887,1137563703
316,80-84,2011,1730990,1142373314
317,80-84,2012,1688888,1143203127
318,80-84,2013,1680865,1140269127
319,80-84,2014,1650508,1139759713
320,80-84,2015,1646685,1148295423
321,80-84,2016,1647308,1164150175
322,80-84,2017,1641793,1183867303
332,85+,2008,1667386,1029307515
333,85+,2009,1686382,1063812636
334,85+,2010,1722319,1099311801
335,85+,2011,1752848,1131697730
336,85+,2012,1769475,1167384434
337,85+,2013,1794868,1195327319
338,85+,2014,1820083,1224196978
339,85+,2015,1841662,1250148721
340,85+,2016,1844390,1274261058
341,85+,2017,1809947,1293252399
351,<1,2008,7330,880476493
352,<1,2009,6896,852972718
353,<1,2010,6810,842006352
354,<1,2011,6518,845481696
355,<1,2012,6706,836367927
356,<1,2013,7035,836941854
357,<1,2014,6886,842065994
358,<1,2015,7302,849179208
359,<1,2016,6956,844439007
360,<1,2017,6292,830666648
